0,0,,,,,,,,,
1,0,2,,,,,,,,
2,0,1,3,4,5,,,,,
3,0,7,6,4,2,,,,,
4,0,8,9,10,11,5,2,3,6,
5,0,2,4,11,12,13,,,,
6,0,8,7,3,4,,,,,
7,0,15,8,6,3,,,,,
8,0,16,15,7,6,4,9,,,
9,0,19,16,8,4,10,17,,,
10,1,17,9,4,11,18,,,,
11,1,4,5,10,12,18,20,21,22,23
12,1,5,11,23,25,26,27,13,,
13,0,5,12,27,,,,,,
14,0,,,,,,,,,
15,0,28,29,16,8,7,,,,
16,1,24,30,31,19,9,8,15,29,
17,0,19,18,10,9,,,,,
18,0,31,32,33,20,11,10,17,19,
19,1,31,18,17,9,16,,,,
20,0,33,21,11,18,,,,,
21,0,34,35,37,36,22,11,20,33,
22,0,11,21,36,23,,,,,
23,1,11,12,22,25,36,,,,
24,0,16,,,,,,,,
25,1,36,38,39,40,26,12,23,,
26,1,12,25,40,41,42,43,27,,
27,0,13,12,26,43,,,,,
28,0,15,29,44,55,,,,,
29,1,15,16,30,44,28,,,,
30,1,44,45,31,16,29,,,,
31,0,30,45,46,47,32,18,19,16,
32,0,46,47,34,33,18,31,,,
33,1,34,21,20,18,32,,,,
34,0,48,35,21,33,32,47,,,
35,0,48,37,21,34,,,,,
36,0,37,38,25,23,22,21,,,
37,0,48,35,21,36,38,,,,
38,0,37,36,25,39,,,,,
39,0,38,25,40,,,,,,
40,0,39,25,26,42,41,,,,
41,0,40,26,42,49,,,,,
42,0,26,40,41,43,49,50,,,
43,0,27,26,42,50,51,52,53,54,
44,1,45,55,28,29,30,,,,
45,0,44,55,56,46,31,30,,,
46,0,31,32,47,48,56,45,,,
47,1,46,31,32,34,48,,,,
48,0,57,37,35,34,47,46,56,,
49,0,41,42,50,58,,,,,
50,0,49,58,59,51,43,42,,,
51,0,50,59,52,43,,,,,
52,0,59,51,43,53,60,,,,
53,0,43,52,60,54,61,,,,
54,0,43,53,61,62,63,64,65,,
55,0,28,44,45,56,66,,,,
56,0,66,55,45,46,48,57,67,,
57,0,48,56,67,68,69,,,,
58,0,50,59,49,,,,,,
59,0,58,50,51,52,,,,,
60,0,52,53,61,,,,,,
61,0,60,53,62,54,,,,,
62,0,61,54,63,70,,,,,
63,0,71,70,62,54,64,,,,
64,0,54,63,65,77,,,,,
65,0,54,64,77,,,,,,
66,0,55,56,,,,,,,
67,0,73,74,68,57,56,,,,
68,0,57,67,69,74,82,,,,
69,0,68,57,,,,,,,
70,0,62,63,,,,,,,
71,0,63,,,,,,,,
72,0,,,,,,,,,
73,0,67,74,76,75,,,,,
74,0,67,68,73,76,78,79,81,82,
75,0,73,,,,,,,,
76,0,73,74,78,,,,,,
77,0,65,64,,,,,,,
78,0,74,76,79,,,,,,
79,0,74,78,80,81,,,,,
80,0,79,81,,,,,,,
81,0,80,79,74,82,,,,,
82,0,81,74,68,,,,,,
