0,0,1,2,3,,,,,
1,0,0,2,4,5,,,,
2,0,0,1,4,3,,,,
3,0,0,2,4,8,7,6,,
4,1,5,1,2,3,8,9,10,
5,0,1,4,10,11,,,,
6,0,3,7,8,12,13,14,15,
7,0,3,6,8,,,,,
8,0,3,7,12,17,16,9,4,6
9,1,10,4,8,16,18,,,
10,1,11,5,4,9,18,,,
11,0,5,10,18,19,,,,
12,0,8,6,13,17,,,,
13,0,22,17,12,6,14,23,24,
14,0,13,6,15,,,,,
15,0,14,6,,,,,,
16,0,18,9,8,17,26,25,,
17,0,16,8,12,13,22,26,,
18,0,11,10,9,16,25,19,,
19,0,11,18,25,27,,,,
20,0,,,,,,,,
21,0,,,,,,,,
22,0,13,17,26,28,,,,
23,0,13,,,,,,,
24,0,13,,,,,,,
25,0,19,18,16,26,29,27,,
26,0,25,16,17,22,28,29,,
27,0,19,25,29,,,,,
28,0,26,22,29,,,,,
29,0,27,25,26,28,,,,
